channel,participant_index,trial,align_count,improvement,empirical_abs_delta
AI,70,28,12,0.04040562784809698,0.0
AI,71,28,12,-0.008205410372838284,0.0
AI,74,28,12,-0.012064995711917215,0.0
AI,86,28,12,0.008480994711184353,0.0
AI,88,28,12,0.011817091068295982,0.25
AI,52,29,2,-0.02974084165863744,0.25
AI,64,29,2,-0.024564530761845615,0.25
AI,11,30,2,0.023903665703628896,0.25
AI,29,30,2,0.05419934802961546,0.0
Self,20,1,2,-0.1152546090007005,0.0
Self,24,1,2,0.1152546090007005,0.25
Self,36,2,2,-0.07580169998841457,0.0
Self,46,2,2,0.0692998786585085,0.0
Self,0,3,17,-0.11151641578769778,0.0
Self,1,3,17,-0.112387658376364,0.0
Self,5,3,17,-0.05663604377902509,0.0
Self,7,3,17,-0.11028276740345944,0.0
Self,11,3,17,0.04905958414336642,0.0
Self,12,3,17,0.11589032289992618,0.25
Self,15,3,17,0.0655836615713069,0.25
Self,23,3,17,0.15623264402399561,0.0
Self,25,3,17,-0.08095499839603873,0.25
Self,28,3,17,-0.13798112989428674,0.0
Self,30,3,17,0.08819196040909894,0.25
Self,34,3,17,0.06696946269446769,0.25
Self,36,3,17,-0.10571782868666446,0.0
Self,38,3,17,0.0902968513820035,0.0
Self,40,3,17,-0.112387658376364,0.25
Self,42,3,17,-0.11589032289992618,0.0
Self,49,3,17,-0.11589032289992618,0.0
Self,92,4,1,-0.08732271465833291,0.25
Self,0,5,32,-0.11669177353181959,0.0
Self,2,5,32,0.1285003238006846,0.25
Self,3,5,32,0.09938971294762566,0.25
Self,5,5,32,-0.11344440425400337,0.0
Self,7,5,32,0.11498361147375757,0.25
Self,8,5,32,-0.1008013883093386,0.0
Self,9,5,32,-0.10451682954165809,0.25
Self,10,5,32,0.0802349467555118,0.0
Self,11,5,32,0.0958288452816437,0.25
Self,12,5,32,0.11895064995423232,0.25
Self,14,5,32,0.07837091508720218,0.5
Self,15,5,32,0.09815644548022473,0.0
Self,16,5,32,-0.1542715071968922,0.0
Self,18,5,32,0.11537088733259598,0.0
Self,21,5,32,-0.10426006130032817,0.0
Self,22,5,32,0.12770364449795457,0.75
Self,24,5,32,0.10741313828028909,0.0
Self,25,5,32,-0.11102687482147577,0.0
Self,27,5,32,0.07769219860139054,0.0
Self,28,5,32,-0.13657449525049525,0.0
Self,30,5,32,0.09990251433161601,0.0
Self,32,5,32,0.0907225653776913,0.5
Self,34,5,32,0.007600280663223158,0.0
Self,36,5,32,0.09685920892942945,0.25
Self,39,5,32,0.10818680617815724,0.25
Self,40,5,32,0.11985395982646008,0.25
Self,43,5,32,0.07170446045767409,0.5
Self,45,5,32,-0.0988452251969113,0.0
Self,46,5,32,0.09201242116711261,0.0
Self,47,5,32,-0.10680280945444942,0.25
Self,48,5,32,0.08430861580548421,0.5
Self,49,5,32,-0.11640790180011107,0.0
Self,53,7,8,-0.09895683235893699,0.0
Self,56,7,8,-0.10861725865458535,0.25
Self,59,7,8,-0.05548834485639398,0.25
Self,65,7,8,0.08718445124188873,0.0
Self,68,7,8,-0.059868493311425075,0.25
Self,69,7,8,0.06620176382129284,0.0
Self,79,7,8,-0.10100977899263441,0.0
Self,92,7,8,-0.0932990785518919,0.25
Self,0,8,41,-0.10199655752650394,0.0
Self,2,8,41,0.08234565423240625,0.0
Self,3,8,41,-0.09928144076217837,0.0
Self,4,8,41,0.09248543272734278,0.0
Self,5,8,41,-0.09843821240094563,0.0
Self,7,8,41,-0.10449511899374514,0.0
Self,8,8,41,-0.10670435393454947,0.0
Self,9,8,41,0.13312131598823185,0.5
Self,10,8,41,0.0777504371013702,0.25
Self,11,8,41,0.08565988011935355,0.25
Self,12,8,41,0.10554953772985143,0.25
Self,13,8,41,0.10457097233502743,0.0
Self,14,8,41,-0.08459619576907906,0.0
Self,15,8,41,0.09400471116637577,0.5
Self,16,8,41,-0.15748274536965318,0.0
Self,17,8,41,0.09133279506071768,0.75
Self,20,8,41,-0.0732144045855112,0.0
Self,21,8,41,-0.1230026668937082,0.0
Self,22,8,41,0.11988785768320886,0.25
Self,23,8,41,0.12912665668900564,0.5
Self,24,8,41,0.10747035783093883,0.5
Self,25,8,41,0.140501061906817,0.25
Self,27,8,41,0.08629191052317131,0.25
Self,28,8,41,-0.11457321408906529,0.0
Self,30,8,41,0.09361000562792932,0.0
Self,32,8,41,0.0972142845231696,0.5
Self,33,8,41,-0.11067999425212921,0.25
Self,34,8,41,0.08194014010164818,0.0
Self,35,8,41,0.08290628149345103,0.0
Self,36,8,41,0.06667490292600786,0.25
Self,37,8,41,0.10777828154946456,0.25
Self,38,8,41,0.0997826070963238,0.0
Self,39,8,41,-0.10322173774479415,0.0
Self,40,8,41,0.10710535942944577,0.25
Self,41,8,41,-0.11690703661725332,0.0
Self,43,8,41,0.08102500744513386,0.5
Self,45,8,41,-0.10101951366861328,0.0
Self,46,8,41,0.09305629899397871,0.0
Self,47,8,41,-0.10574230876800006,0.25
Self,48,8,41,0.09069753886825715,0.75
Self,49,8,41,-0.10437270272734278,0.0
Self,69,9,6,0.09121224012366025,0.0
Self,70,9,6,0.11695076743072175,0.0
