alpha_fast,alpha_slow,omega1,omega2,omega3,omega4,beta,gamma
0.7512820659450944,0.3930121673363193,0.2624540116672346,0.37232114891427875,0.13487845771972612,0.162463092966801,2.807960158612208e-23,0.04384390907415362
0.8373373363481671,0.5258831338730823,0.21753439790712673,0.2916989857860735,0.10262575982314104,0.116854784121105,6.729626100249122e-24,0.10484367818648208
0.7889074643856382,0.4360451326043751,0.256363340758003,0.34703559193707584,0.14498418092074394,0.14171777421450146,3.1368615862181924e-24,0.07381811183845277
0.7756234086044945,0.4551571029402195,0.2521199385705164,0.34445112439423264,0.11769010245461228,0.13388997890086973,6.820673487018896e-21,0.08214547319873572
0.7031878680638394,0.407699063713835,0.2542588709455021,0.34749888124723866,0.11950165241674408,0.11954157314080116,1.2186375651011102e-27,0.08639012043423538
0.7620321248662163,0.45439819102104984,0.24796217616328087,0.3075185495457919,0.11450598393686805,0.12270521085021026,5.363573434047969e-23,0.10987070923407549
0.7859125113474139,0.5188377505328896,0.20394841491851648,0.2884345898721382,0.0712720196175079,0.08887138829006089,1.5987128095734283e-22,0.14706901247985468
0.8557081886149998,0.5967547213039536,0.17781059962929913,0.25299620482208546,0.06567979006026976,0.07900926308866761,4.198829584831135e-25,0.11773759803097122
0.6898596533284606,0.4004612047397383,0.23900689349397441,0.35776718277310193,0.09273395852052493,0.12755843334914285,3.350960201988462e-27,0.1063188323763045
0.6800868654429003,0.42935130373021807,0.2148571134415452,0.30302265896729413,0.0897893011263042,0.09013960602911086,4.0533061805934264e-26,0.12779220760898993
0.8314778519675867,0.525988164634312,0.20567823594732185,0.2729820587168415,0.09453606030008138,0.12021660750978765,1.1336324485868136e-26,0.09845454060185527
0.7246797543107244,0.4676172040975911,0.21969811746806855,0.3063245543269651,0.06592184689062494,0.1010892745944798,2.7193415936242013e-26,0.15648537596509418
