alpha_e,alpha_a,alpha_b,omega1,omega2,omega3,omega4,gamma
0.2693833194100043,0.35926379767847527,0.013463805611084444,0.8765115274964423,0.23084125653233062,3.417715890660564e-25,0.5707229918394681,0.33252672307510484
0.2912673091659233,0.3615157010769854,0.00613350336615486,0.8701083128991128,0.3403538412317886,0.005987644389780314,0.5167730684463678,0.36154734201613065
0.2688150568720412,0.3278125025354312,0.006707808817756909,0.8690203903845587,0.2177351184984273,1.4945623154236564e-26,0.5410926979623485,0.27537240883777314
0.27265398781089134,0.37025624311368993,0.0018608926990282325,0.8609622080267985,0.2443831807808408,1.6778420364161365e-33,0.5076186953100085,0.3007281679409105
0.26833919592903055,0.39066267661948345,0.02216019306125567,0.8810625857814667,0.21415274967515247,6.255346751895396e-23,0.5191221302277175,0.32704285272747874
0.2568271077351065,0.33428360301456717,0.02535969523874083,0.837514536045409,0.181089256687551,7.433626104651241e-27,0.5365908628997589,0.3084900568420961
0.2841585322072482,0.3530054126182008,0.012461205456887305,0.8362534174538138,0.26130920441072547,6.48539463557217e-22,0.5008452263608295,0.30023283288263963
0.26728302873787585,0.34993282859413755,0.02425450877117381,0.8235407565967091,0.2138306876754671,1.343356355183129e-26,0.5376455170016893,0.31595028029401107
0.25993091551456066,0.3399924486152087,0.02854749876007141,0.8765294521589795,0.23254750508339042,6.428718565821905e-20,0.5427088995687336,0.3728863917252783
0.2629632901988669,0.36914770794019536,0.010503765780671512,0.8593127449132757,0.19513790395515535,7.238648197786516e-30,0.5714835416453475,0.31807369645100125
0.2501881216846744,0.37013840588210034,0.0051787302847602626,0.8678406934937263,0.17757951395639845,1.9364588001214142e-31,0.5445809875246375,0.2854512419072264
0.28304509237064085,0.3601847328184104,0.0229552666071104,0.9000563845403995,0.1973094865027413,1.2255219384166023e-12,0.502228518892313,0.3152667856859302
0.2513905969796495,0.3443328622126464,0.006706889727720769,0.8452321583778116,0.2236036472958187,3.2734029558422587e-28,0.5682299735032512,0.3141245026193035
0.2793616572319006,0.3398524513123179,0.016025430622026625,0.8531372197818721,0.2713103506182765,1.7095678549488668e-24,0.5604465769591199,0.3876296782952009
0.25699477057763587,0.3138569369958834,0.006081879753500464,0.865277239899909,0.19739188172312752,1.2281443750142921e-27,0.6118695951912108,0.36050215337882013
0.2650312821036243,0.32468119881040924,0.007989299308447391,0.850221499808429,0.22868192193491738,1.6640073771323537e-27,0.5600876031896758,0.34015930438105585
0.25993478003902515,0.3468926652988909,2.948091518326665e-11,0.8551875652641727,0.22095004655615738,1.9156001905342041e-29,0.5929599461348924,0.3372649941403018
0.2722534478026162,0.3356330066792505,0.00729711929512053,0.7992010306288283,0.2251454249451436,2.5948139305280252e-27,0.6127080067937052,0.32915580159253877
0.2541686283083234,0.37076004519191397,5.630155984165925e-12,0.9004128750346374,0.2200794881478303,1.3805925921478963e-26,0.5152540799222909,0.351756113995567
0.2509829572846988,0.37092766291485835,0.015757432455002884,0.869525411145778,0.19927521954950705,3.398970116001126e-26,0.5511912318830711,0.3528398431708035
0.2615825760121949,0.3775515369926765,0.01392485775291732,0.8744671377939451,0.27149289936322724,9.450421123836031e-25,0.5279888695843776,0.334637111023591
0.27740493464800187,0.383937478372639,0.007890572820045762,0.9003960811637297,0.21850837401794349,3.439694286631865e-25,0.49230729837374193,0.3179567374426174
0.26428930099677206,0.3802860959640108,0.00017399718310118721,0.8580376715595552,0.19441404765469442,3.1297469114900195e-35,0.5889564473721757,0.3330725765509635
0.26660207538922515,0.3472086856711561,0.0170960372597914,0.873516537429892,0.20738891014608354,1.659715767149403e-26,0.5701509023578666,0.35374640823833653
0.254425527402462,0.3800982176772966,0.009895736189232413,0.8780265267713775,0.1848918045626933,1.9421111424752323e-28,0.5539289734671176,0.29973260685131137
0.25745461136849257,0.3356855256702385,0.012238452463762628,0.8714591418701408,0.30079537616924384,8.043453586133179e-23,0.5538556282587555,0.39953890287065225
0.2852126590102549,0.3600226887984957,0.04170165571766557,0.8802018535725701,0.24301454085184404,0.009378880625568088,0.5357909935010211,0.42979201668458616
0.2618037730867699,0.3544052097180896,0.0029653535867467085,0.9028611516510954,0.27040788019507406,6.399116057942437e-30,0.569192378733745,0.35146882388843714
0.28796944173673894,0.35524060540314006,0.03635513216360567,0.8949308562316932,0.2552253335839753,6.191646864234028e-19,0.4803126716196674,0.3765690470552948
0.27190161544998415,0.3939013551004521,0.01601309474005675,0.8403597579443196,0.298798999632466,9.78534804412491e-26,0.5248243475851558,0.31802908824359866
0.2730693502448465,0.3184643599214076,0.0020924514521456997,0.8100955868697682,0.2392985431662487,3.930194938971749e-27,0.6103411989447943,0.28416494372182066
0.2801483256962875,0.3190065546508288,0.015274728343067917,0.8690518651602108,0.2562332606104552,1.205832709912074e-22,0.552550281578643,0.3619006641817975
0.2857743325926488,0.3473494019735465,0.013897405295323887,0.8449289052480828,0.23709310385203572,1.2907979791331194e-21,0.5072540739356872,0.3056466237657709
0.3010112354529333,0.3515563123499589,0.005835777457645798,0.8577834514243318,0.29065874739193914,0.05667273758423205,0.4833719339462238,0.3752895760728888
0.27622460107722635,0.31293525506335884,1.639710427635582e-13,0.8307323728476483,0.25153247747769036,1.1374111164353057e-31,0.6076090736813764,0.357845760749846
0.2648702680461612,0.3887678236733948,0.026066275163076014,0.8490775051288285,0.2121604852493795,3.431872559741949e-22,0.5567448044959257,0.3192324790236224
